"participant_id","questionnaireItem_id","answer"
12,62,Leve dor de cabeça após o uso
12,63,Divertido e único
12,64,Um pouco de dificuldade para mover as opções da maneira que gostaria
12,65,Nenhuma
13,63,"Imagino grandes possibilidades de uso desta tecnologia, com várias aplicações possíveis."
14,62,Em alguns momentos os objetos podem escapar de pegar no movimento da mão.
14,63,Experiência muito divertida e agradável.
14,64,Não.
14,65,"Contraste de fundo ser um pouco, do ambiente, ser um pouco mais nítido."
14,66,"Sim, porque é uma experiência imersiva e iterativa."
15,62,Desconforto nos dados
15,63,Poder interagir e ainda ter a percepção do ambiente em volta
15,64,Me adaptar para pegar as peças
16,64,Alguns problemas com a perspectiva 3D
17,62,Nenhuma
17,63,Muito bom a inovação tecnológica
17,64,Não
18,62,Tive dificuldade em realizar meus movimentos e ser reconhecido pela solução holography
18,63,Foi muito revigoram realizar as ações
18,64,Tive dificuldade em realizar meus movimentos e ser reconhecido pela solução holography
18,65,"Mais leve
Melhor estética 
Mais reconhecimento da acordo usuário"
18,66,"Discordo, com uma pessoa com TDAH as vezes as dificuldades mos desmotivar volta. Usar velhos métodos"
19,62,"No começo senti dificuldade em pegar as peças, porém eu nunca tinha usado o equipamento."
19,63,Divertido
19,64,Somente no início para me adaptar
19,65,Não
19,66,"Não sei dizer, mas em comparação com a realidade, prefiro essa."
20,62,"Não enxerguei o texto muito bem, o fundo ficava muito desfocado não parecendo real, as vezes a solução não correspondia muito bem ao toque, começou a ficar cansativo devido ao peso."
20,63,"Muito mais facilidade se comparado ao computador, ficou um jogo mais imersivo, permite não se desconectar da realidade pela imagem do fundo e das mãos, imagem e movimento bem fluidos parecendo reais."
20,64,"Peso, não corresponder a todos os toques."
20,66,"Sim, pois há a visualização das mãos e do mundo real ao fundo."
21,62,"Minha coordenação motora eu penso que não colabora, as peças acabavam caindo, ou se distanciando de mim. A princípio, a sensação de tocar &#34;no nada&#34; é estranha, não é gratificante para as mãos pegar em algo que você atravessa por ele. Parecem os fantasmas de filmes..."
21,63,"Não vi o tempo passar, fiquei concentrada, achei divertido!"
21,64,Eu ficava tentada a usar todos os dedos da mão para pegar as peças que acabavam se distanciando de mim ou virando de lado.
21,65,"Não tenho conhecimento suficiente para isso, mas talvez criar algo que faça com que a pessoa sinta que está tocando mesmo um objeto com volume."
21,66,É a primeira vez que tenho contato com solução holográfica.
22,62,Praticamente nenhuma.  Um pouco de dificuldade de virar e encaixar algumas peças
22,63,Achei muito interessante manusear algo que não existe
22,64,Apenas de entender no inicio se eu precisava ou não inserir os objetos por cima
22,65,Não
22,66,Desconheço outras
23,62,Como usei a solução sem óculos senti que não conseguia ter uma noção de profundidade
23,63,"O jogo é divertido, e quando tiver uma espécie de lente para suprir a falta do óculos vai ser muito agradável"
24,62,Apenas falta de jeito no início.
24,63,"Nada é destacar, foi bem positivo."
24,64,Não.
24,65,Não.
24,66,Não tenho parâmetros.
25,62,"Dificuldade de pegar as peças no jogo. Quando quis mexer as peças, mexi sem querer o espaço para montagem e nem sempre consegui reposicionar."
25,63,"Achei divertido, gostei da experiência e me senti inteligente por conseguir terminar a fase 1 nos 15 minutos."
25,64,"Queria olhar o ambiente mas não quis perder tempo, pois queria completar o jogo."
25,65,Que as peças soltas sejam mais sensíveis ao toque e a base fique fixa.
25,66,Foi a primeira vez que usei.
26,62,"Achei o audio baixo e gostaria de ter sensação tátil, mas, achei positiva a experiência."
26,63,Me senti confortável na experiência e me diverti.
26,64,Não senti.
26,65,"No momento não, e confio nos pesquisadores."
26,66,Foi minha primeira experiência.
27,62,Eu tenho dificuldades de evoluir em jogos especialmente quebra cabeça. No início tive ligeira dificuldade para pegar as peças e encaixa_las.
27,63,Após  entender a logica de seu funcionamento o desenvolvimento daa atividades fluiram
27,64,A forma de manipular e encaixar as peças nas imagens 2 D
27,65,Acredito que a falta de experiência de minha parte no uso de peças contribuiu em erros nos encaixes em 2D
27,66,Achei válido para desenvolvimento cognitivo e lógica. Talvez até pará solução de problemas
28,62,"O equipamento é um pouco desconfortável, pesado."
28,63,"A experiência foi divertida, instrutiva e para mim, inovadora."
28,64,"Apenas no começo, até me acostumar com a forma de interagir com o jogo."
28,65,Talvez uma sugestão seria aparecer um contorno diferente quando a peça se encaixa na base.
28,66,"Sim, porque ela possibilita manusear as peças tridimensionalmente, ou seja, o movimento não fica limitado aos botões do console."
29,62,Frustração ao não conseguir pegar o holograma e muitas vezes transpassa_-lo
29,63,Proporciona diversão
29,64,Não enfrentei
30,62,Dificuldade em mover os objetos
30,63,Conhecer essa tecnologia e poder interagir com essa realidade virtual
30,64,Dificuldade em realizar os movimentos de pegar o objeto e movê-lo
30,65,Não
30,66,"Para esse jogo em especifico, acredito que um jogo similar em um celular, por exemplo, seria mais fácil e ágil, já que seria necessário apenas arrastar os objetos, sem necessidade de fazer movimento de pinça com os dedos."
31,62,Algumas vezes o óculos não reconheceu movimentos que eu faria na realidade real.
31,63,"Acredito fielmente que poderia ser usado para melhorar alguma atividade que fosse chata, uma doação de sangue, por exemplo."
31,64,"Como descrito no Q2. Alguns gestos orgânicos não foram reconhecidos, deixando a experiência menos fluída, conforme minha expectativa."
31,65,"Um tempo maior seria de grande valia para identificar alguns pontos como gráfico, fluidez da rotação 3D das peças, nível de profundidade tanto das mãos ao interagirem com o objeto, quanto quão longe eu consigo levar essas peças, sem que minhas mãos atravessassem os blocos. Eu fiquei mais preocupado em resolver o encaixe das peças do que atento a detalhes técnicos."
31,66,Acredito que pontos como a fluidez e o reconhecimento dos movimentos seriam extremamente importantes a serem melhores desenvolvidos.
32,62,O equipamento é um pouco pesado e gera um pouco de desconforto.  Fiquei chateada de não conseguir montar o terceiro
32,63,"Divertido, amei a música"
32,64,Dificuldade em pegar as peças e não meher na caixa transparente
32,65,Não
32,66,"Sim, é mais divertido que um quebra cabeça tradicional"
33,62,Nenhuma
33,63,Adrerei
33,64,Não
33,65,So elogios se for avançadas tecnologia  vai ser util
33,66,Sim
35,62,Dificuldade da solução de identificar quando eu queria retirar uma peça do quadrado e não movê-lo.
35,63,"Intuito, divertido e fácil utilizar."
35,64,"Na tentativa de mover as peças de dentro do quadrado, e acidentalmente abrir o menu algumas vezes, não parece haver gestos específicos pra eles, então as vezes aconteciam e eu não sei como."
36,62,Nenhuma
36,63,A sensação de controle é a sensação que os objetos estão ali é bem real
36,64,Nao
36,65,Nao
36,66,Sim. O fato de poder pegar as coisas sem instrumentos é muito satisfatório e intuitivo.
37,62,"O equipamento era um pouco pesado, me causou um leve desconforto. As vezes eu tinha dificuldade em rotacionar as peças."
37,63,"Foi satisfatório enxergar com mais facilidade a solução dos desafios através do espaço tridimensional, além de sensação de &#34;experimentar uma tecnologia do futuro &#34;"
37,64,Não
37,65,Não possuo
37,66,Não sei dizer
38,62,Certas vezes não reconhecia o toque
38,63,Muito divertido
38,64,"Sim, apenas com relação ao não reconhecimento de toque às vezes"
38,65,Não
38,66,A iteração virtual com elementos imaginários trás uma nova percepção e uma curiosidade de como a tecnologia se renova cada vez mais
39,62,Não houve
39,63,"Muito interessante e gostaria de continuar, mas o tempo acabou"
40,62,Rotacionar os  objetos era um pouco estranho.
40,63,Poder manipular os jetos até encontrar a solução.
40,64,Sim até entender o jeito certo de manusear o blocos e soltá-los.
40,65,Não.
40,66,"Sim, pois é  mais interativo jogo holográfico, do que o jogo físico ou game."
41,62,Não tive
41,63,"Foi uma experiência positiva, era algo novo , o som , o jogo eram bem didático , e é um bom equipamento para entretenimento."
41,64,Não
41,66,"Sim , o fato de ser mais interativa , a deixa mais interessante e acredito que desperta mais curiosidade de maneira geral ."
42,62,Peso do equipamento.
42,63,Experimentar a mistura da realidade virtual com a real.
42,64,Não
43,62,Não tive
43,63,Foi bastante prazeroso. Pode ser usado em  muitas coisas.
43,64,Não
43,65,Melhorar o encaixe do dispositivo no rosto
44,62,O contato com as peças precisa melhorar
44,63,Jogar as peças
44,64,Dificuldade ao girar peças
46,62,"A música me atrapalhou,  achei ela cansativa"
46,63,Ver o ambiente ao meu redor me trouxe tranquilidade
46,64,Não
46,65,No momento não
47,62,Cansou um pouco os braços mas eu jatenho tensão nos ombros
47,63,"Diversão,  entretenimento,  bem estar, alegria"
47,64,Não
47,65,O capacete ser um pouco mais leve eas imagens poderiam ser mais nítidas
47,66,Sim. Dá uma visão tridimensional mais real e interessante
48,62,Nada a declarar.
48,63,Interatividade e entretimento.
48,64,Dificuldades de encaixe da última peça do jogo no nível 3.
48,65,Da experiência vivenciada ficou um sentimento de continuidade para aperfeiçoar o aprendizado nesta solução.
